,Square_id,Time_Interval,Fronthaul_Gbps,eMBB,mMTC,URLLC
0,4452,0,865.3682026520422,848.0608385990014,7.788313823868379,4.3268410132602115
1,4452,0,935.3448600156357,916.637962815323,8.41810374014072,4.676724300078178
2,4452,0,1072.278262747461,988.1513941448288,9.074859742146385,5.041588745636881
3,4452,0,1274.196818628898,1059.6648254743345,9.73161574415205,5.406453191195584
4,4452,0,1278.225500261731,1131.1782568038402,10.388371746157715,5.771317636754286
5,4452,0,1619.9372586154984,1202.691688133346,11.04512774816338,6.136182082312989
6,4452,1,1681.459767953887,1274.2051194628516,11.701883750169044,6.501046527871692
7,4452,1,1981.7628397530227,1345.7185507923573,12.358639752174708,6.8659109734303945
8,4452,1,1900.7687440331326,1417.231982121863,13.015395754180373,7.230775418989097
9,4452,1,2421.790164867174,1488.7454134513687,13.672151756186038,7.5956398645478
10,4452,1,2413.089565499577,1560.2588447808744,14.328907758191702,7.9605043101065025
11,4452,1,2474.3428510056187,1631.77227611038,14.985663760197367,8.325368755665206
12,4452,2,2702.378585934239,1703.2857074398858,15.642419762203032,8.69023320122391
13,4452,2,2684.163292821825,1774.7991387693914,16.299175764208698,9.055097646782613
14,4452,2,2637.2797444056478,1846.3125700988971,16.955931766214363,9.419962092341317
15,4452,2,2840.7296755458674,1917.8260014284028,17.612687768220027,9.78482653790002
16,4452,2,2333.4471802300945,1989.3394327579085,18.269443770225692,10.149690983458724
17,4452,2,2324.9510217219517,2060.852864087414,18.926199772231357,10.514555429017427
18,4452,3,2684.1682503660973,2132.36629541692,19.58295577423702,10.879419874576131
19,4452,3,2299.4247737619157,2203.8797267464256,20.239711776242686,11.244284320134835
20,4452,3,2167.6608337685307,2132.36629541692,19.58295577423702,10.879419874576131
21,4452,3,2222.713585178292,2178.259313474726,20.004422266604625,11.11356792589146
22,4452,3,2035.0632038484714,2106.74588214522,19.34766626459896,10.748703480332756
23,4452,3,2054.913081490431,2035.2324508157144,18.690910262593295,10.383839034774052
24,4452,4,1952.1640233363987,1963.7190194862087,18.03415426058763,10.018974589215349
25,4452,4,1904.4043151838625,1892.205588156703,17.377398258581966,9.654110143656645
26,4452,4,2023.5217091105667,1963.7190194862087,18.03415426058763,10.018974589215349
27,4452,4,1830.026021123249,1892.205588156703,17.377398258581966,9.654110143656645
28,4452,4,1249.5964781128466,1820.6921568271973,16.7206422565763,9.289245698097941
29,4452,4,1051.2860841336562,1749.1787254976916,16.063886254570637,8.924381252539238
30,4452,5,1054.135625261763,1677.665294168186,15.407130252564972,8.559516806980534
31,4452,5,998.4662034006813,1606.1518628386802,14.750374250559307,8.19465236142183
32,4452,5,1141.0224369877499,1534.6384315091746,14.093618248553643,7.829787915863128
33,4452,5,674.8410361023167,1463.1250001796689,13.436862246547978,7.464923470304425
34,4452,5,571.5497262054776,1391.6115688501632,12.780106244542313,7.100059024745723
35,4452,5,551.7811766416282,1320.0981375206575,12.123350242536649,6.73519457918702
36,4452,6,437.00824074734567,1248.5847061911518,11.466594240530984,6.370330133628317
37,4452,6,362.32887524048635,1177.071274861646,10.80983823852532,6.005465688069615
38,4452,6,321.5409301578517,1105.5578435321404,10.153082236519655,5.640601242510912
39,4452,6,296.05851086681236,1034.0444122026347,9.49632623451399,5.275736796952209
40,4452,6,265.35109679332663,962.530980873129,8.839570232508326,4.910872351393507
41,4452,6,268.27139423904003,891.0175495436233,8.182814230502661,4.546007905834804
42,4452,7,316.3513306470878,819.5041182141176,7.526058228496996,4.181143460276101
43,4452,7,266.01442719312456,747.9906868846119,6.869302226491332,3.8162790147173986
44,4452,7,266.95794134756716,676.4772555551062,6.212546224485667,3.451414569158696
45,4452,7,335.58287808630405,604.9638242256005,5.555790222480002,3.0865501235999933
46,4452,7,283.80864730491436,533.4503928960949,4.899034220474338,2.7216856780412906
47,4452,7,373.65843333291855,461.9369615665891,4.242278218468673,2.356821232482588
48,4452,8,478.84308360829255,469.26622193612667,4.309587752474632,2.3942154180414628
49,4452,8,425.5965534491913,417.08462238020746,3.8303689810427213,2.1279827672459564
50,4452,8,301.2825972418508,345.5711910507017,3.173612979037056,1.7631183216872535
51,4452,8,368.96834624212784,361.5889793172853,3.32071511617915,1.8448417312106393
52,4452,8,277.69033389385083,290.07554798777954,2.663959114173485,1.4799772856519364
53,4452,8,322.6586106730046,316.2054384595445,2.903927496057041,1.6132930533650232
54,4452,9,383.74083644339834,376.06601971453034,3.453667527990585,1.9187041822169917
55,4452,9,360.1658777222268,352.96256016778227,3.241492899500041,1.8008293886111342
56,4452,9,340.726661759272,333.9121285240866,3.066539955833448,1.7036333087963602
57,4452,9,356.6764543427947,349.5429252559388,3.2100880890851524,1.7833822717139736
58,4452,9,362.63353021511114,355.3808596108089,3.263701771936,1.8131676510755557
59,4452,9,327.28143847180263,320.73580970236657,2.9455329462462236,1.636407192359013
60,4452,10,828.9888766161287,392.2492410318723,3.6022889482518887,2.001271637917716
61,4452,10,375.62367594032247,368.111202421516,3.380613083462902,1.8781183797016123
62,4452,10,501.4382085768307,439.62463375102175,4.037369085468566,2.2429828252603152
63,4452,10,481.93483639736496,472.29613966941764,4.337413527576285,2.409674181986825
64,4452,10,970.2716571869777,543.8095709989234,4.994169529581949,2.774538627545528
65,4452,10,644.2799129313863,615.3230023284291,5.650925531587614,3.139403073104231
66,4452,11,546.6919071688553,543.8095709989234,4.994169529581949,2.774538627545528
67,4452,11,360.2216098627216,472.29613966941764,4.337413527576285,2.4096741819868255
68,4452,11,340.60980339366245,400.7827083399119,3.6806575255706195,2.044809736428123
